流速	流速，是流体的流动速度。
醉象	醉象（すいぞう）是日本将棋的棋子之一。有在小将棋、中将棋、大将棋、天竺大将棋、摩诃大大将棋、泰将棋和大局将棋出现。
速记	速记（Shorthand）是一种用符号快速记录语言的方法，通过速记符号记录的音节信息，并利用缩略符号提高记录效率。
汪萍	汪萍，是1970年代邵氏当红明星。 生平 汪萍原本是浙江绍兴人，父母早年前往台湾，她也是在台湾高雄出生、台北成长。
武汉	武汉是华中地区乃至中国内陆最大的工商业城市，拥有冶金、纺织、造船、制造、光电、信息、医药、食品、化工、汽车等产业。
画眉	画眉（学名：Garrulax canorus），是雀形目噪眉科的一种鸟类。为中国著名的传统笼鸟，备受养鸟者的推崇。
瓷器	瓷器，也作磁器，是由瓷石、高岭土等组成，外表施有釉或彩绘的物器，需经过高温（约1200℃–1400℃）的窑内烧制。
符杆	符杆是音符的一部分，在二分音符或更短的音符中连接着符头，而全音符和短音符(二全音符)则没有符杆，但长音符亦有符杆。
不丹	不丹是世界最小及落后的经济体系之一，以农业及林业为主（但由于不丹政府以保护林木为理由，所以不丹的林业规模并不大）。
陶站	陶站是一个位于日本香川县绫歌郡绫川町、属于高松琴平电气铁道（琴电）琴平线的铁路车站，车站编号为K13，属无人车站。
鼻鼾	鼻鼾是呼吸系统的结构震动而产生的声音，原因是睡觉时呼吸被阻挡。在一些情况下声音较轻，但一般情况下都是嘈吵及烦人的。
青城	青城是宋朝的斋宫。其中之一是东京汴梁城南熏门外的祭天斋宫，谓之南青城；另一在北门封丘门外，为祭地斋宫，谓之北青城。
梯形	梯形是只有一组对边平行的凸四边形。梯形平行的两条边为底边，分别称为上底和下底，其间的距离为高，不平行的两条边为腰。
铁路	铁路，亦称铁道，是铁路运输的媒介列车利用铁轮在铁轨上行走的一种大众交通工具。在语境上，有时候会当成铁路运输的概念。
尘兔	尘兔（Dust Bunnies或dustbunnies）是一种在家具下方形成的小团状灰尘，会出现在不常清洁的角落。
球兰	球兰（学名：Hoya carnosa）是夹竹桃科萝藦亚科球兰属的植物。虽名称中有「兰」，但与一般常见的兰花不同科。
建历	建历（1211年三月九日至1214年十二月六日）是日本的年号之一。这个时代的天皇是顺德天皇，由后鸟羽上皇实施院政。
蓝宫	蓝宫（Palazzo Blu）是意大利比萨的一个博物馆和文化活动中心，位于历史中心的心脏地带甘巴科尔蒂滨河路9号。
虞翻	虞翻，字仲翔，会稽余姚（今浙江余姚）人，是三国时期东吴的经学家和政治家；既能著书立说，又通医理和占卜，官至骑都尉。
画框	画框，也叫相框，是用来固定图画或照片的装饰性边框，目的可能是为了加强效果，便于携带或摆放，或是保护图画或照片本身。
坚巷	坚巷（Caine Lane）是香港岛上环一条掘头巷，以香港第一位裁判官威廉·坚（William Caine）命名。
水羚	水羚（学名：Kobus ellipsiprymnus），又称非洲大羚羊，是一种生活在西非、中非、东非及南非的羚羊。
芒埔	芒埔，是台湾苗栗县苗栗市的一个传统地域名称，位于该市东部。相较于今日行政区，其范围大致包括清华里、玉清里、玉华里。
隆朴	隆朴（ลอมพอก pron）是一种暹罗礼帽，由王族和贵族佩戴。隆朴为白色尖顶帽，框架用竹子制作，外层以白布包裹。
和习	和习，又写作和臭、倭臭，是日本人作文言文同时又受日语影响而形成的独特用法。这一用语现象由江户时代学者荻生徂徕指出。
粉末	粉末是一种非常细小的颗粒，可以在摇晃或倾斜时自由流动。大小在于颗粒之下，颗粒通常不会结成团，但粉末比较容易结成团。
虐阴	虐阴（英语：Pussy torture或cunt torture），是一种对女性生殖器施加疼痛或进行收缩的性活动。
莺谷	莺谷（うぐいすだに）是东京都台东区的地名。以东日本旅客铁道（JR东日本）山手线・京滨东北线的莺谷车站为中心的地域。
物怪	物怪（物の怪、もののけ）是日本的古典或民间信仰中，附身在人类身上，使人受苦、生病或死亡的怨灵、死灵、生灵等的灵魂。
马悠	马悠（Josef Margraf，1月26日），是一名德国生态学家，一生致力于保护东南亚和云南西双版纳的热带雨林。
乌梅	乌梅是指梅经加工过的果实，乌梅可以入药，也可以食用。 概述 乌梅的外观为黑色以及深褐色，它表面粗糙，并且带有酸味。
姜目	姜目（学名：Zingiberales）是单子叶植物的一目，本目也叫做美人蕉目。本目常见的植物有香蕉、姜、美人蕉等。
润洗	润洗是化学定量分析中的一种操作。它是在所用的玻璃仪器清洗完毕、确认清洁后，用待装的工作试液浸泡仪器内壁的一个过程。
黄奎	黄奎，是《三国演义》中的虚构人物，字宗文。 董卓暗杀谋议参加者黄琬之子，黄琬在李傕之乱时被杀害，黄奎官至门下侍郎。
京畿	京畿是指京城及其周围的地方，源自中国唐代长安城周边地区之京县（赤县）和畿县，京城辖县为赤县、旁邑为畿县，统称京畿。
绿僵	绿僵，是僵尸的一种，僵尸有些身上有绿色体毛。在子不语里，有僵朱尝言所见棺中僵尸不一,有紫僵、白僵、绿僵、毛僵之类。
坐夜	坐夜（侗语:Nyaoh nyaenv）是侗族的一种传统恋爱社交活动，流行于黔东南北部侗寨，是行歌坐夜活动的一部分。
铅管	铅管，是用铅制造的非铁金属管。铅管具耐压及延展性，适合在狭窄及转弯的角落地方使用，常用于输送水、瓦斯、酸性液体等。
菖蒲	菖蒲（学名：Acorus calamus），也叫做水菖蒲、白菖蒲、藏菖蒲，古名蒖、䒢，是一种菖蒲科的水生草本植物。
食疗	食疗是一种中医及印度医学等的固有医学概念，医学中归类为替代医学。在纽西兰最有名的方式是食用麦芦卡蜂蜜UMF24+。
董县	董县，是明代交阯承宣布政使司谅山府下辖的一个县，后陷入安南，治所约在今越南从谅山至升龙的驿道上，而且与鸡陇县相邻。
退磁	退磁（Degaussing），又称为消磁，是一种减少或消除永久磁铁剩磁的方式，其英文名称可能是得名自磁的单位高斯。
告缗	告缗，是中国西汉汉武帝发起的一次打击偷税的行动。 西汉初年，汉高祖采取抑商政策，对大商人征收重额的算缗，即财产税。
本中	本中（ほんなか）是创业于2010年12月的日本AV片商。公司位于东京都涩谷区惠比寿4-5-28 惠比寿花园203。
应长	应长（1311年四月二十八日至1312年三月二十日）是日本的年号之一。这个时代的天皇是花园天皇，由伏见上皇实施院政。
沙棘	沙棘（学名：Hippophae rhamnoides），或作海沙棘，是沙棘属的一种带有棘刺的落叶多年生小乔木或灌木。
编剧	编剧（Screenwriter），又称编剧家、脚本家，是通过文字创作出剧本的作者，其往往是电影、电视剧集的故事源头。
县庄	县庄，是台湾彰化县芬园乡的一个传统地域名称，位于该乡东南部。相较于今日行政区，其范围大致包括县庄村、圳墘村、溪头村。
血橙	血橙（英文：blood orange）是橙（Citrus sinensis）的变种，带有深红色似血颜色的果肉与汁液。
建保	建保（1214年十二月六日至1219年四月十二日）是日本的年号之一。这个时代的天皇是顺德天皇，由后鸟羽上皇实施院政。
象年	象年（阿拉伯语：عام الفيل ʿām al-fīl）是伊斯兰教史中的一个重要年份，相当于公元570–571年。
银杉	银杉（学名：Cathaya argyrophylla）是松科银杉属（拉丁语：Cathaya），为中国特产的稀有树种。
油茶	油茶（学名：Camellia oleifera），俗称大果油茶（相对于小果油茶，即短柱山茶），是山茶科山茶属的植物。
元永	元永（1118年4月25日~1120年5月9日）是日本的年号之一。使用这个年号的天皇是鸟羽天皇，由白河上皇实施院政。
林清	林清，又称刘金刀、刘安国、刘林，清朝顺天府大兴县黄村宋家庄人，是嘉庆年间天理教起事（天理教为八卦教的一支）的领导人。
莲潭	莲潭，是台湾台南市白河区的一个传统地域名称，位于该区西北端。相较于今日行政区，其范围大致为广莲里不含东北部及东南部。
马峙	马峙是浙江省舟山市普陀区区府所在地沈家门南侧近岸的一个小岛，和临近的小干岛、鲁家峙共同构成沈家门中心渔港的海上屏障。
法庭	法庭（Tribunal）是进行诉讼和审判聆讯的地方，俗称公堂。法庭一般设于法院之内，战时则有可能出现机动的巡回法庭。
石狗	石狗，也称石狗崇拜，是指位于中华人民共和国广东省徐闻县、遂溪县、廉江市等地历史中存在的石狗崇拜的习俗，源自盘瓠信仰。
长宵	长宵（1989年2月20日－2016年5月13日），是一头在台北市立动物园出生的雌性长颈鹿，其伴侣为雄性长颈鹿菊忠。
书格	书格，是一个自由开放的在线古籍图书馆。致力于开放式分享、介绍、推荐有价值的古籍善本，并鼓励将文化艺术作品数字化归档。
福逸	福逸（Wellington），是一匹在香港出赛的赛驹，为2021/2022马季最佳短途马，先后由高伯新、黎昭升训练。
帝江	帝江是中国古代天山的山神，也是原始先民的歌舞之神帝江，形状象黄口袋，颜色像红火，六只脚四个翅膀，没有面目，懂得歌舞。
杂志	杂志是一种定期发行的连续出版物，介于书籍和报纸之间，其中包含各种文章内容。大多数杂志的收入来源都是广告和读者的购买。
纳采	纳采，又称提亲、问肯，是汉字文化圈婚礼传统三书六礼中的第一礼。传统上儿女婚嫁时，由男家家长请媒人向物色好的女家提亲。
背包	背包，又称「背囊」，是一种附带一至两条肩带，可以挂在人类背部的行李袋。从近代行军荷载物品用途，发展而成为现代的背包。
根轴	根轴（radical axis）是由两个圆唯一确定的，与两圆连心线垂直的直线，其定义为关于两圆的圆幂相等的点的轨迹。
钦族	钦族（或称Mizo people）是生活在印度东北部、缅甸西北部钦邦和孟加拉国吉大港丘陵地带的操藏缅语族语言的族群。
雨水	雨水，是二十四节气中第二个节气，指太阳到达黄经330°时，在公历每年2月18日-20日之间，斗指寅，表示雨水的增多。
矽锗	矽锗（Silicon-germanium，缩写为SiGe），是一种合金，依矽和锗的莫耳比可以表示成SixGe1-x。
矢絣	矢絣（日文：やがすり），是日本的一种和风纹样，将弓箭后半部的羽毛作为图案，呈现规则性的排列，属于“絣纹”的一大分支。
下湳	下湳，是台湾云林县西螺镇的一个传统地域名称，位于该镇西部偏南。相较于今日行政区，其范围大致包括下湳里、七座里西北部。
候气	候气是一种测候之术，即将长短符合黄钟十二律的律管（竹管）按一定方式置于密室内，并在管中填入芦苇膜（即葭莩）烧成的灰。
猫屿	猫屿，是位于台湾澎湖群岛的一座岛屿，约望安岛西南方约16公里，包括两座岛屿，因形状像两只猫蹲伏而被称大猫屿和小猫屿。
扬剧	扬剧是中国江苏省江淮方言区的戏曲之一，主要流行于扬州等地。2006年5月，扬剧被列为中国第一批国家级非物质文化遗产。
除霜	除霜是一些冷冻或空调设备中的机能，是针对特定会凝结水气的低温设备，使其温度上升，大于零度，让设备上凝固的霜可以熔化。
黑粉	黑粉是指一些非常讨厌某名流、某偶像、某事物的一类人，而且他们还会特意创作出一些衍生作品来嘲讽他们所讨厌的偶像和明星。
割腕	割腕是用利器割伤手腕，如用作自杀则又称割脉。 割腕自杀的主要目的是割伤桡动脉造成出血，伤势严重会因失血性休克而死亡。
郝歌	郝歌（Emmanuel Uwechue，1981年），原名伊曼纽尔·乌维苏，是一位原籍尼日利亚而在中国发展的男歌手。
丁台	丁台，是台湾台中市雾峰区的一个传统地域名称，位于该区西南部。相较于今日行政区，其范围大致包括丁台里、北势里、南势里。
白喉	白喉（Diphtheria）是由一种被称为Corynebacterium diphtheriae的细菌所感染造成的。
头癣	头癣（Tinea capitis）是由皮癣菌感染头皮导致的皮癣菌病。三种主要的真菌是：小孢癣菌、表皮癣菌和毛癣菌属。
潘村	潘村（Pin，LL-Q150 (fra)-LoquaxFR-pin.wav）是法国上索恩省的一个市镇，属于沃苏勒区。
深沟	深沟，是台湾宜兰县员山乡的一个传统地域名称，位于该乡东南部。相较于今日行政区，其范围大致包括深沟村北部、蓁巷村北部。
纳贡	纳贡，是中国古代的政治制度，可以指： 进贡（贡纳制度） 即进贡。宗主国接受藩属国呈献的礼品或君王接受臣民呈献的礼品。
武罕	武罕，是台湾宜兰县冬山乡的一个传统地域名称，位于该乡东北部。相较于今日行政区，其范围大致包括群英村东部、武渊村西部。
阿劝	阿劝，是台湾云林县仑背乡的一个传统地域名称，位于该乡南部偏东。相较于今日行政区，其范围大致为阿劝村不含东部凸出部分。
雕漆	雕漆，又称漆雕，指的是一种专门用在漆器上的雕刻技法，源自于中国古代，为历代中国皇家所推重，属于最高级的工艺美术之一。
竹纸	竹纸是一种用竹子为原材料制作的纸张，流行于东亚及东南亚。中国竹纸制造历史悠久，其工艺流程较为复杂，在古代被广泛使用。
市场	市场是人们在固定时段或地点进行交易的场所，而此交易场所是那些需要经常进行物品交换的人，为了减少搜寻成本所自发形成的。
鞋油	鞋油是一种消费产品，用于打磨及擦亮皮鞋或皮靴，恢复它们的本来面貌，同时加强其防水能力，因此使用鞋油可延长鞋类的寿命。
靖林	靖林（Radcliffe），是信德集团位于香港南区薄扶林薄扶林道120号的一个豪华住宅项目，毗邻玛丽医院、香港大学。
虎符	虎符是源于中国的金属制的虎形调兵凭证，后来传至朝鲜、越南。传说是西周姜子牙所发明，在中国古代皇帝制度中是军权的象征。
禺强	禺强，也作禺疆、禺京，为传说中的海神、风神和瘟神，是黄帝之孙。统治北海，人面鱼身或鸟身，耳佩两条青蛇，足踏两条赤蛇。
浮桥	浮桥，又称舟桥，最早见于中国周朝，是一种简易桥梁，通过联结可浮于水上的物体以临时解决两岸上交通问题，常见于军事用途。
墨水	墨水是一种含有色素或染料的液体，通常是由颜料、连结料、溶剂、助剂等组成的混合物，外观为具有一定的流动性的胶浆状物质。
鄞县	鄞县（汉语拼音：Yín Xiàn；吴语宁波话：Nin-yu）是中国浙江省宁波市历史上的一个县，今舟山市曾含于县境内。
玉恒	玉恒（335年-338年三月）是十六国时期成汉政权成幽公李期的年号，共计4年。 玉恒四年四月李寿即位，改元汉兴元年。
芍药	芍药（学名：Paeonia lactiflora），又称作白芍、杭白芍、金芍药，是芍药科芍药属的多年生宿根草本植物。
抢杠	抢杠，是港式广东麻雀一种和牌方式，日本称枪杠。在对手宣布加杠的时候，如果所加的杠牌恰好能被己方胡牌，则此时本役成立。
食糜	食糜（chyme，语源来自于χυμός，意思为汁液）是一种从胃离开，进入十二指肠的半流体物质，成分为部分消化的食物。
水车	水车，是利用水流产生机械能（位能与动能）的一种原动机。在蒸汽机、电动机发明以前，人类常用它来取水、脱谷、制粉、纺织。
康元	康元（1256年十月五日至1257年三月十四日）是日本的年号之一。这个时代的天皇是后深草天皇，由后嵯峨上皇实施院政。
白板	白板是种能将以专用的白板笔反复书写并可擦拭的塑胶或钢化玻璃制白色平面，经常用于课堂教学、会议讨论、或个人记事等用途。
儒户	儒户是元代独有的一种不分种族的户籍。宋元交替之际，大量儒士死亡和转而从事其他行业，于是元朝建立了这种制度来保护儒士。
古一	古一（Ancient One）是一位出现在漫威漫画中的虚构人物。他是奇异博士和莫度男爵的导师，也是前任的至尊魔法师。
黄姓	黄姓是中文姓氏之一，在《百家姓》中排名第96位，中国大陆第七大姓。黄姓人口在广东省最多，占全国黄姓总人口的约19%。
光头	光头是一种发型，这种发型会把头发全部剃光。在不同的时间和地点，人们选择剃光头的原因各异：方便、宗教、文化、美学等等。
鹓雏	鹓雏，又称鹓鶵，是中国古代传说中的禽类之一，属于凤凰的一种。 神话生物 在中国古代典籍中，认为鸿鹄是一种黄色的凤凰。
母衣	母衣（ほろ）是日本古代骑兵用的一种布幔护具，又名为「幌」或「保吕」。对于有效射程仅30公尺的和弓，有一定的防御效果。
辞职	辞职是在职业上一个员工辞别自己原先的工作岗位及组织，让出其职位予新接任人。与之词意相近的是离职、退职，但不包含退休。
跳线	跳线是用于连接电路上两需求点的金属设备，用于电气连接。 对于电路板设计中提及到的跳线，指短距离的连接线，类似于飞线。
人矿	人矿是中国大陆2023年初流行的网络词汇，指“生下来就被当作消耗品使用的人”。 多用于自嘲，意思近似「屌丝、牛马」。
假根	假根是植物和真菌的一种结构，和根一样用做支撑或吸收等用途。 在真菌里，假根是由固定真菌的匍匐枝向下长的小小分歧菌丝。
食谱	食谱，又称菜谱，是一种教人烹调食物的文件，记载著配方、烹调步骤、技巧等。现存最古老的食谱来自公元前15世纪的巴比伦。
何尊	何尊，西周早期青铜酒器，是一位名叫“何”的宗室贵族祭祀所用的尊，作于周成王五年，是西周已知最早的有明确纪年的青铜器。
罐车	罐车是一种铁路货车，主要由压力容器和转向架构成，用来装运各类液体货物。根据所盛液体不同，可分为普通罐车和危险品罐车。
脱毛	脱毛，又称除毛、剃毛、也称为是去除体毛。 脱毛是将体毛连根拔起，效果比剃毛持久，但直接拔毛会刺激神经细胞，非常疼痛。
仑内	仑内，是台湾云林县土库镇的一个传统地域名称，位于该镇西部。相较于今日行政区，其范围大致为仑内里不含北部东侧凸出部分。
初始	初始（或写作始初，8年12月17日－9年1月14日）是西汉君主孺子婴的第2个年号，也是他的最后一个年号，共计1个月。
顶厝	顶厝，是台湾彰化县鹿港镇的一个地名，位于该镇南部。就行政区而言，范围大致包括顶厝里、永安里、埔仑里不含北端及西北端。
嘉保	嘉保（1095年1月23日~1097年1月3日）是日本的年号之一。使用这个年号的天皇是堀河天皇，由白河上皇实施院政。
胶带	胶带，又名胶条、胶纸、胶带纸等，是一种涂有黏合剂背衬的组合材料，通常是长条并卷起，以施压拉扯的方式切断成一小段使用。
新庙	新庙（Naya Mandir，नया मंदिर）是老德里一座古老的耆那教寺庙，位于Dharampura耆那教社区。
茶烟	茶烟是指用茶叶制成的香烟，因为不含有尼古丁，不会使人成瘾，有害物质相较于普通香烟低很多，所以茶烟在中国渐渐流行起来。
活塞	活塞是在气缸内滑动的中空圆柱，活塞的外径约等于气缸的内径。功能是改变气缸包围的容积，或是传递气缸内流体所施加的压力。
花冠	花冠（corolla）是一朵花中所有花瓣的总称，位于花萼的内侧，为花部（flower parts）四轮构造的第二轮。
猴痘	猴痘（monkeypox，世界卫生组织称为「mpox」）是一种由病毒引起的人畜共通传染病，即病原体从动物传播给人类。
天仁	天仁（1108年9月9日~1110年7月31日）是日本的年号之一。使用这个年号的天皇是鸟羽天皇，由白河上皇实施院政。
洛希	洛希（Lochee）是位于苏格兰邓迪西部的地方，至19世纪镇为独立一个小镇，后来由于邓迪发展扩张而成为邓迪的一个区。
建长	建长（1249年三月十八日至1256年十月五日）是日本的年号之一。这个时代的天皇是后深草天皇，由后嵯峨上皇实施院政。
鹤咀	鹤咀（Cape D'Aguilar，因而又译德忌笠角）是香港的一个海角，位于香港岛南区赤柱及石澳地区的鹤咀半岛南端。
衖堂	衖堂是上海的一种基于里弄类建筑的城市社区，指城市中某一成片街巷内的居民所组成的社区，也称“里弄”，是上海的特色文化。
抹谷	抹谷（မိုးကုတ်，pron）是缅甸曼德勒省彬乌伦县下辖的一个城市。距曼德勒北200公里，距中缅国境450公里。
摆陀	摆陀（Rotor）是自动机械表中一块半月形离心块件，通常位于机芯背面，其作用是通过佩戴过程中手臂的运动来上紧发条盒。
安进	安进（AMGen，原称Applied Molecular Genetics）是一家美国制药公司，总部位于加州千橡市。
二磷	二磷是一种无机化合物，化学式2。磷之上的氮会形成有氮氮三键的N2分子，而磷倾向于形成P4，因为P-Pπ键的能量很高。
登高	登高是一首七言律诗，唐代诗人杜甫于大历二年（西元767年）在夔州（今中国重庆奉节）所写，被誉为「古今七言律诗之冠」。
螺洲	螺洲（Beaufort Island，音译Lo Chau）是香港离岛区蒲台群岛的一个无人岛，位于香港岛及蒲台岛之间。
士姓	士姓是一个中文姓氏，郡望为河东郡。 起源 根据《通志氏族略》，士姓源于杜伯，杜伯是周宣王的大夫，祖先为帝尧之子丹朱。
劳彭	劳彭（Laupen）是瑞士的城镇，位于该国西部，由伯恩州负责管辖，2010年人口2,813，其中六成居民信奉基督教。
白海	白海（Белое море；卡累利阿语和Vienanmeri）是巴伦支海的延伸部分，位于俄罗斯境内，为俄罗斯内海 。
霸王	霸王是指比一般王还强盛的君王，在春秋时代出现五个强盛的诸侯，也就是所谓的春秋五霸，自始，「霸」字成为一方强权的称号。
软骨	软骨（cartilage）是脊椎动物特有的胚胎性骨骼，一种无血管组织,略带弹性的坚韧组织，在机体内起支持和保护作用。
涅姆	涅姆（Неум/Neum），是波黑唯一的沿海市镇，滨临亚得里亚海。涅姆海岸线全长24.5 km，为波黑唯一的出海口。
贾赦	贾赦是中国古典小说《红楼梦》中的人物，字恩侯，是贾代善与贾母（史太君）的长子，邢夫人的丈夫，贾琏、贾迎春、贾琮之父。
月照	月照，是幕末时期尊王攘夷派的僧侣。 月照和西乡隆盛的交情很好，当西乡尊敬的岛津齐彬死后，西乡想要自杀，但是被月照阻止。
玛米	玛米（Mami）是巴比伦《阿特拉哈斯史诗》（Atra-Hasis）及其它创世传说中的一位女神，有可能与宁胡尔萨格同义。
吊钹	吊钹（Suspended Cymbal）是常用的敲击乐器，由于声音透过钹片本身的震动所发声，因此归纳为体鸣乐器的一种。
相柳	相柳，是中国古代传说中的蛇妖。 特征 相柳见载于《山海经·海外北经》中，其文为：「共工之臣曰相柳氏，九首，以食于九山。
哔叽	哔叽是一种纺织品的名称，属于一种绫布，在布的前后两面都有两上、两落的梭织斜纹，而且表面光洁，质地较厚而软，通常为素色。
唱名	唱名（solfège，sɔl.fɛʒ；solfeggio，sɔl.fɛd͡ʒio）是用来教授音高和视唱的音乐教育方法。
单晶	单晶是指其内部微粒有规律地排列在一个空间格子内的晶体。其晶体结构是连续的，或者可以说，在宏观尺度范围内单晶不包含晶界。
捶丸	捶丸是中国古代的一项球类运动，类似于现代的高尔夫球。 捶丸，顾名思义，捶者打也，丸者球也，是中国古代球类运动项目之一。
湿疹	湿疹（eczema）是一种持久和续发的皮疹，以发红、水肿、瘙痒和发干为表征，可伴有结痂、剥落、起泡、开裂、出血或渗血。
褐宫	褐宫（Braunes Haus）是纳粹党（德国国家社会主义工人党）的全国总部，位于德国巴伐利亚州慕尼黑布林纳街45号。
平卢	平卢是中国唐代的一个行政区划。 开元七年（719年）升平卢军使为平卢军节度，经略河北支度，治所营州（今辽宁省朝阳市)。
蓝洞	蓝洞（Blue hole）是一种存在于海底的沉洞，又称为水下洞穴。世界的许多地方如伯利兹和巴哈马、红海一带等都有蓝洞。
永长	永长（1097年1月3日~1097年12月27日）是日本的年号之一。使用这个年号的天皇是堀河天皇，由白河上皇实施院政。
康治	康治（1142年5月25日~1144年3月28日）是日本的年号之一。使用这个年号的天皇是近卫天皇，由鸟羽上皇开设院政。
交州	交州，又称峤南，是古地名，其范围在其近八百年的历史中常有变化，通常包括现在的越南北、中部和中国广西壮族自治区的一部分。
作品	作品，亦称创作、创意成品、著作，是具有创作性，并且可以通过某种形式复制的成品。著作权法保障了这些创造性活动的表现形式。
八莫	八莫（Bhamo），缅北华人称新街，缅甸北部克钦邦的重要贸易城市，是旧中印公路上的城市，为木姐到密支那路上唯一的大城。
元久	元久（1204年二月二十日至1206年二月二十日）是日本的年号之一。这个时代的天皇是土御门天皇，由后鸟羽上皇实施院政。
宽治	宽治（1087年5月11日~1095年1月23日）是日本的年号之一。使用这个年号的天皇是堀河天皇，由白河上皇实施院政。
狗蚤	狗蚤（学名：Ctenocephalides canis）是分布最广泛、数量最多的一种跳蚤，其身长在1.5-3毫米之间。
斗仑	斗仑，是台湾新竹县竹北市的一个传统地域名称，位于该市南部。相较于今日行政区，其范围包括斗仑里、中仑里、新仑里、北仑里。
严岛	严岛是位于日本濑户内海广岛湾西部的岛屿，行政区划属于广岛县廿日市市，全岛面积约为30平方公里，常住人口约1,600人。
天永	天永（1110年7月31日~1113年8月25日）是日本的年号之一。使用这个年号的天皇是鸟羽天皇，由白河上皇实施院政。
轧空	轧空（short squeeze），又称逼空、空头挤压，是股市术语之一，主要因市场供求关系，而非公司基本面变化而发生。
虚拟	虚拟（Virtuality）是一抽象概念，与真实对立。 与虚构的区别 虚拟是虚构某样现实中存在的事物，可能有夸大成分。
打斋	打斋，就是布施素食给予他人，可以是在寺庙烹饪斋食，供庙中的法师与居士食用，或者直接捐款，请人代办，早年往往请庙方代办。
退台	退台是建筑外墙上的阶梯状后退。退台最初是出于结构上的原因而出现的，但现在常出于土地利用法规的强制要求或审美原因而使用。
越窑	越窑是唐朝、五代时浙江绍兴越州的瓷窑，窑址主要分布于慈溪的上林湖一带。隋朝、唐朝时绍兴叫“越州”，因此得名为“越窑”。
副乳	副乳是指人体除了正常的一对乳房之外长出的多余乳房，一般在腋前或者腋下，也有发生在胸部、腹部、腹股沟、大腿外侧等部位的。
瑞竹	瑞竹是台湾日治时代高雄州屏东市（现屏东县屏东市）的观光名胜，位在台湾制糖会社阿缑工场（现台糖屏东总厂）内，惟现已不存。
建仁	建仁（1201年二月十三日至1204年二月二十日）是日本的年号之一。这个时代的天皇是土御门天皇，由后鸟羽上皇实施院政。
克尔	克尔（Κήρ, Kēr）是希腊神话中登场的死亡与战争女神或恶灵。复数存在，复数形是克蕾丝（Κῆρες, Kēres）。
岛峰	岛峰（Island Peak）是一座位于尼泊尔萨加玛塔国家公园的山峰，高6189公尺，属于洛子峰向南延伸出的一条山脊。
通告	通告是适用于在一定范围内公布应当遵守或者周知事项的周知性公文，具有强制性和约束力，为公文的一种形式，也是应用文的一种。
狮威	狮威（Skol），是啤酒商英博集团旗下的一款品牌，得名于瑞典语干杯时所说的词语“skål”，意思指「为你的健康著想」。
长寮	长寮，原写为长藔，是台湾南投县鱼池乡的一个传统地域名称，位于该乡中部偏东北。相较于今日行政区，其范围大致为共和村西部。
闰余	闰余是中国古代历法名词，指在回归年起始时（即冬至日），自历法计算基准点历元以来累积的朔望月数以带分数表示时的分子部分。
弘长	弘长（1261年二月二十日至1264年二月二十八日）是日本的年号之一。这个时代的天皇是龟山天皇，由后嵯峨上皇实施院政。
窑洞	窑洞是中国传统民居建筑形式，是中国大陆黄土高原地区的特色建筑69。 西北地区的陕北、陇东、晋中等地是窑洞建筑集中地区。
鼻头	鼻头，是新北市瑞芳区的一个地名，位于该区东北部。 历史 台湾清治末期，鼻头地区为一街庄，称为「鼻头庄」，隶属于基隆堡。
诺姆	诺姆（源自Νομός，意为“行政区”；埃及语：Sepat）是在公元前3500年左右古埃及前王朝时期最早形成的国家形式。
苗语	苗语是苗族人语言的统称，属于苗瑶语族的苗语支。分布在中国的湖南、四川、贵州、云南等地；以及越南、老挝、泰国、美国等国。
蜂毒	蜂毒是蜜蜂尾部毒腺分泌的液体，它除了含有大量水分外，还含有若干种蛋白质多肽类、酶类、组织胺、酸类、氨基酸及微量元素等。
结式	结式是数学中一个常用的不变量。考虑域 上两个多项式 ，设其首项系数分别为 ，则其结式定义为 其中 为 的给定代数闭包。
六分	六分，原写为六份，是台湾台中市外埔区的一个传统地域名称，位于该区东部。相较于今日行政区，其范围大致包括六分里、永丰里。
崩埤	崩埤，是台湾台南市后壁区的一个传统地域名称，位于该区北部偏东。相较于今日行政区，其范围大致为菁丰里东北半部不含东北端。
文觉	文觉，日本平安时代末期至镰仓时代初期的武士，同时也是真言宗的僧侣。他是镰仓幕府重要幕僚之一，同时也是神护寺的中兴之祖。
双杀	双杀（Double play），是在棒球比赛中，于一个打席内，经由一系列连贯防守动作而造成两名进攻球员同时出局的情况。
果实	果实，是被子植物（也称开花植物）花的部份组织衍生成的生殖器官，通常在开花授粉之后，以子房为主体而形成，其中包含有种子。
壬酸	壬酸是九个碳的直链羧酸，结构式CH3(CH2)7COOH。 性质 纯品为无色微有特殊气味的油状液体，工业品常呈淡黄色。
嘉元	嘉元（1303年八月五日至1306年十二月十四日）是日本的年号之一。这个时代的天皇是后二条天皇，由后宇多上皇实施院政。
维滕	维滕（Witten）是德国北莱茵－威斯特法伦联邦州的一座城市，位于鲁尔区南部，隶属于阿恩斯贝格行政区的恩内珀-鲁尔县。
长保	长保（999年2月1日~1004年8月8日）是日本的年号之一，指的是长德之后、宽弘之前，999年到1004年这段期间。
启辰	启辰（英文：Venucia）是中国一个汽车品牌，由东风汽车有限公司的子公司东风日产汽车公司拥有，于2010年9月上市。
早搏	早搏（premature heart beat）是过早搏动的简称，也称期前收缩（extrasystole）、期外收缩。
